date,value
461065931,A
1286365459,D
158407481,C
797513280,B
1209553280,B
1477540138,C
170707601,A
1325259323,B
343757784,F
1336993222,D
417988711,D
1287865516,C
951928223,A
289064452,A
902771875,B
1278397808,D
394004223,B
1377982809,B
1453986286,D
1351208137,A
357133913,B
441523207,A
257005352,A
204657582,C
956773043,A
359798495,C
442103129,F
894887910,F
1273179028,A
921956581,D
1120676087,D
428129708,A
774469602,F
830260941,C
1477777285,F
459821859,C
577482178,F
522659251,F
293383579,B
750658203,F
137435838,F
734525140,D
642443878,F
1312217812,B
1290643574,C
183304582,B
1202200334,A
418740451,F
1379759565,B
1227651507,A
325314766,A
677043761,B
1399567464,D
761404677,A
371739792,D
187354312,D
640354041,D
464964665,F
13449478,C
194120984,D
902453677,D
1456726830,A
492452969,B
816000883,F
796559894,A
75133097,A
1379675809,B
608613072,C
1277916715,B
419008190,B
612735128,F
718396816,A
1193402453,A
1244918603,C
457536258,B
202324639,D
1003177219,D
1317512663,F
382199547,D
1454673326,A
969999054,B
1014273219,D
729679391,D
818159254,D
436285766,F
1083988780,F
923655846,A
1303098645,B
1242794661,F
532367891,A
418004741,A
507377268,F
1066914455,A
1220579836,D
181420660,D
160488327,C
745575448,B
1336428440,A
946742801,D
1519422837,D
980076394,B
556256606,A
1298606985,B
445325234,D
553227799,F
973876571,A
1150757722,C
1255806382,A
321272700,A
1082851451,F
1206283483,F
513339103,D
177705065,D
864522218,D
1063075835,B
726260176,C
123148103,D
1373849882,C
1092189048,B
1415980936,A
1121178160,D
175371988,F
904675516,C
1339326914,D
1374418866,A
708970990,A
658324929,B
605424658,D
1331624912,D
761099784,D
139454729,D
438089679,F
1262609969,C
873729902,F
476414361,C
1394640418,F
1219275069,F
589429214,F
1429933094,F
860263512,C
551208743,D
987785192,C
823184295,A
966961355,F
1207869124,D
1263805394,C
903175730,F
647277435,D
483091857,C
1088982096,D
276314270,B
504902708,C
321189809,A
280035446,C
1134678762,D
129071826,F
1349527047,D
1409059617,C
1249179975,C
167924971,B
1161549179,A
471771118,C
761003170,F
119579027,D
1121894747,B
395454799,A
381837922,B
1213441251,A
1380962784,D
754566333,C
473484887,B
389418236,D
744003690,D
136403648,B
662373248,F
10640565,B
263985836,D
38797813,C
1355283913,D
579414168,F
1073099637,D
331625689,C
761342115,C
489420677,B
218832124,F
756091871,B
426091416,F
858456428,A
1167419394,C
100178812,C
51174244,D
1020203889,A
1387664722,D
518523646,C
1413844484,C
40204132,B
285414589,C
1497409029,C
305088083,D
1366404399,C
239796730,B
1484662031,B
151601249,C
291903750,F
1547039253,F
333485671,B
1272899856,C
363344909,B
1387560079,C
48823794,D
218972111,D
991471475,A
33058007,C
1398803280,D
1055818591,F
918700429,A
296751719,F
179183151,A
339255896,C
801254480,A
1494572710,C
754778211,F
553836101,F
532223890,D
581618978,F
1195685257,A
400707762,F
384174003,C
1156335889,F
1103796548,D
548124539,F
717713806,D
585866478,C
912384997,B
477467249,A
540655169,A
694081189,B
516014045,F
729117573,F
826486039,C
139895314,A
222694722,F
312550418,A
1416753659,C
1375117551,A
542968759,B
1491203232,A
502820793,B
1165507506,D
626544799,B
1276011375,C
1124355939,D
160871845,C
65814799,D
680822584,C
667617314,F
1295631044,D
408406315,A
1394301488,C
450757498,A
311958795,B
1545718039,B
1312266185,A
290046572,D
1385698634,D
763488469,B
1372075013,C
854671746,C
300650413,B
53418168,F
141944699,F
1124396108,C
361786127,D
714708044,B
709224979,D
387520015,C
896658387,F
1259992526,F
105496326,D
249582967,C
1349714396,A
1119859763,D
1536779219,C
325594365,D
1432292791,B
181695886,B
491817034,F
106470204,C
1320103982,B
417703237,C
397274138,F
10574456,A
1104701729,B
1011250953,F
569059591,D
210109241,B
1294739391,F
1184327623,B
1047724732,B
731357280,B
987805884,F
119018165,A
509538817,B
364537431,F
960925581,F
67215378,A
524226051,C
390532130,F
1407155905,B
1246354294,F
463201092,F
896221439,B
1526341297,A
314039596,A
558364439,A
1146851348,B
601436666,B
331948223,F
1506671199,B
258092681,D
1302954781,B
884196120,A
515836752,A
367692902,F
105658738,F
1064994550,F
1551530488,A
274751919,C
654809796,F
785449705,D
1090780512,F
402030891,D
217018504,B
1413674136,C
1100702861,D
984557730,C
1027039892,C
1093107753,C
1520920315,C
423663804,C
1475180357,B
670251997,F
1301492392,C
411754840,A
585424867,A
407926602,B
1182917441,A
1538386254,A
669002633,B
1375885062,C
521427552,C
824593804,D
1122620601,B
345121291,A
495724042,C
1488708465,C
367826443,C
22813851,F
13373351,D
1375225044,D
1555718190,D
1371660654,D
1517516890,B
1370553396,B
1291921159,A
289312880,D
521285166,D
1112605879,D
1318593106,A
750669966,C
1153724009,C
879137028,D
1388417079,C
1541228047,B
1201092536,B
677951838,D
792713392,A
1103580774,A
118303146,F
908915413,C
370463452,C
926273909,C
279548993,F
35197353,B
724220114,F
1057000292,A
652801108,D
479552085,B
1105797601,C
372975334,B
1140299045,F
957803259,C
1018902743,F
144216202,D
161860536,F
1143208599,F
1236497319,F
1142196158,B
12973900,F
764237789,C
999794710,D
1156127420,B
4522544,B
1055338311,F
1002114047,A
151168950,D
370668817,D
533280416,C
1392586722,D
512707807,F
735487554,F
27858705,B
546698294,B
1278066638,A
1334252121,A
1504074954,A
801124751,D
1038541234,A
207762181,A
1524281656,F
228522019,C
148425042,A
841679404,D
508230701,F
522818743,A
1283118783,A
1118314790,C
703036686,A
740883363,D
227372018,F
676523086,F
709122299,A
613511715,A
122086550,A
878184467,D
194272039,A
831810039,D
925366455,D
1233693893,C
1082325654,C
395495529,D
871539552,D
534072385,B
1093094244,C
1048846158,D
781439933,C
1200245445,D
196021981,A
811005826,C
1528386704,A
620139055,D
1283819004,C
386057129,A
1109670367,D
1338051729,A
830049257,A
835374839,D
314153849,B
1400164505,A
1380495566,C
429157883,B
1376405689,C
1259007499,A
1510300350,A
1059272436,A
1347753766,C
724889737,C
394473440,C
372618754,F
1252034400,C
40529428,C
1351231885,C
1356361892,A
702858982,F
101629302,B
1107597929,C
621080196,F
963184277,C
315433591,A
91497739,D
201365354,F
117348942,C
985607960,F
820821718,B
1397411594,D
541181497,C
564953433,B
1290453449,D
967993893,D
929589972,F
1504361933,D
1300772198,F
340304717,D
169832687,B
309099846,F
1145265146,A
197283540,F
1317066176,C
1030175114,C
269935864,F
502319248,F
555872988,A
1264215002,A
37390099,A
661355370,C
1135444213,A
362557417,B
1054479732,C
536956400,D
1027473198,C
672653516,F
167555826,C
692283961,B
387982945,D
495090424,A
1090148551,A
1278662807,A
1485006832,A
928437725,A
129068202,C
259917215,A
287801894,C
1512833659,A
1271446408,D
618998077,D
539906717,B
732452652,D
1050315621,F
1171809337,F
255484457,A
617885342,F
314877106,F
908167802,D
1552414726,D
624591540,A
237640820,D
1287566283,F
1110026332,C
600397087,D
1267092545,D
738763138,C
699346927,A
1068189259,D
1524587459,C
716851086,D
298248879,A
965113560,B
103901627,F
79513585,F
1368056895,C
925414923,A
529970440,D
418779063,C
77364263,D
1525480361,B
250176036,B
610147043,A
706383968,F
939166678,C
823229919,D
361579395,D
804521575,F
1095172157,F
799732695,C
1432769617,F
217349051,C
1100769465,A
1113139113,F
1299274848,A
486772976,C
255892493,B
1135835261,C
962203310,C
353356584,F
1502421667,F
1490278866,D
1189303564,C
1468024528,D
255253855,C
1480574686,F
1282610605,A
403718975,A
1083793128,A
348905430,F
1439724812,B
198709045,A
1064033038,A
1453536352,C
618708778,F
1415638916,A
164748567,C
299444691,C
1490401035,C
1053204963,C
245672810,C
715585347,A
255474909,B
1035371132,C
1143280156,D
199437611,B
490834542,F
836060961,B
1028961054,C
1347250104,B
1343602493,A
1153106007,F
1209927091,A
404235496,C
846107024,B
735465805,F
1206092149,B
1341517513,A
1447476751,A
1368691143,D
1190429960,F
1394023827,F
857022336,D
201770503,D
862070125,A
1543554477,B
1116283504,B
998222952,D
506850091,A
901689787,A
1391430738,D
1207546667,D
609062868,C
258581655,C
566263028,C
1063403923,F
616020950,F
5695712,A
898885951,D
560363051,F
649007408,D
1415750437,B
76085076,D
1334398809,D
624191099,B
1024946774,F
1237963893,B
737449605,D
1317054188,D
807923288,C
504121022,F
1520975321,F
291670429,A
793392474,B
1161449715,D
371282223,A
161437918,F
1386104444,A
687759793,C
123246804,C
168710894,A
1277689581,A
654930208,F
1470532198,D
1011672998,A
1255030901,B
616941403,F
1063379496,A
1122668254,B
848384556,F
1164504741,A
181137122,D
552451419,B
298854906,F
361233886,D
282277660,A
181421500,C
912555851,F
1446239727,D
1337465459,D
586355581,D
747317620,D
1508054018,D
141621921,A
1423249393,B
1073441618,F
234295323,B
360933718,A
740470697,D
331410954,B
180438709,F
297660563,F
1054211849,A
555323024,A
115024834,A
870827373,C
620237538,F
838853103,B
300729017,C
312139039,C
916184216,A
712694454,D
1399724608,B
357752163,B
981452309,C
392609166,B
903300062,D
1117889763,C
27808094,F
390229625,B
519641408,D
77773438,A
156958418,A
702415486,B
1465921770,A
55656521,B
1444873437,C
1219829074,C
913287867,A
1340293655,F
1453267976,A
722503347,C
1396601310,D
698947681,B
1334432081,D
1448341107,A
1508974741,A
208564218,C
681501584,D
1173160240,C
201022686,D
138417226,F
706648920,F
1005096778,C
21364151,F
516882882,F
140402050,C
687616246,F
1507000299,A
975910302,C
895222067,F
955024884,F
1518217226,C
50919490,D
130579373,F
1126194956,B
962776671,C
247307830,B
873238479,C
880376232,F
121556263,D
323243977,C
270047190,B
934153510,D
1055463164,A
119756956,D
565270285,C
777094613,B
997273770,B
422561649,C
1121161830,D
576963375,A
867627947,A
319960860,C
278891200,C
742342889,C
1211597794,F
1279495611,D
508070139,F
977919643,D
1053204987,B
934423535,A
1487179689,C
78038394,D
950185860,D
684117680,C
835045500,F
794867266,F
349840532,A
56215958,A
1295231318,F
1035898858,F
837061714,A
182119587,C
1403850036,A
803231104,D
1453643491,A
879122472,A
1133253922,A
528440873,B
7847563,A
464894969,B
385295861,F
702487075,A
1409984751,A
932125578,A
1044183841,B
617833054,A
1232187829,D
873333510,F
314657303,B
661877322,A
669386373,B
658037164,C
685742725,F
278141543,C
1520214227,B
873202035,C
161722182,C
11385026,B
970568745,F
1376993509,F
645317916,A
1403831843,F
961825247,C
365658160,C
1013542326,A
76124877,C
394467823,B
344471852,A
831592509,D
1087540027,D
1309130446,F
586788490,D
662824056,B
1375257609,C
1406235104,F
900175648,D
712593425,C
871322898,B
894710940,C
752750701,F
1214800955,A
1182491226,B
504030757,B
82453600,B
1114623732,D
1369568643,D
482259656,D
1086231,C
846729346,F
913141239,C
1291727435,D
87449588,A
1028954543,A
455243736,A
574723932,D
1119902432,F
655996056,D
1509479103,C
1540306960,B
1542936991,A
596877938,B
808480426,D
1054076491,B
1397650303,C
345241572,D
1278061002,C
952335379,C
117984586,F
643312702,C
637376396,C
169355096,B
1550322789,C
1242333567,A
541750250,B
918927171,A
815378058,D
532404499,C
436001578,B
119184153,F
33298141,F
1142004030,A
771208607,F
1500276202,F
776107416,A
227827844,D
1222821269,B
872016182,B
993033080,D
673389591,F
127929089,B
254854895,D
663696026,B
602918586,D
1212806889,B
706575005,F
996687268,C
1034800221,D
81961142,F
1073849812,A
889752594,F
290035068,C
983621085,B
338506779,C
1222534370,D
562824351,D
1044610773,C
22409921,C
15903657,B
756877466,A
678906412,A
1509591180,D
1212612556,A
26361899,A
542067710,D
829368437,B
1549146673,B
335918885,A
634218429,A
162974599,A
1275676048,D
897961383,F
1155874608,C
1268744754,A
363115251,D
648008915,F
824483909,B
575560863,F
302369783,C
1195665676,D
1036029487,C
159395124,C
1004569516,B
1280821987,F
496550808,C
1542866803,D
1312922525,D
1103779572,A
1092497377,C
960119351,B
927446833,D
1330499301,C
904636108,C
186317882,B
1168131257,A
608713403,C
740408588,C
361007382,F
1168675881,B
538020332,F
1463586408,D
1056120208,F
1506692690,F
1253152870,D
1247578567,D
250784745,D
76655102,A
1171393835,C
140528436,C
80760570,F
606797254,D
1231343996,A
52431208,A
321524182,B
1249677938,B
666698910,B
301147558,A
1003125927,A
1008773469,D
705991372,A
678087236,D
1519024845,C
103824259,C
1502720572,C
651856021,C
1546512214,B
726721428,C
562089916,D
470411730,B
1331248494,A
903275718,D
1082949116,A
1487775690,B
284251503,A
1029262935,B
365645156,D
390920615,D
1337569155,A
489703109,C
601164658,C
775788660,D
1155123721,A
535245162,C
429990006,C
1324113991,F
837996847,A
345251472,C
1286173037,D
165857237,B
1223996307,C
1253891323,F
1222039290,D
148306670,A
396360955,D
456473451,C
805704760,C
1172943526,D
1215842799,A
466383020,D
118723302,F
1156774461,D
977398791,B
43314119,C
437082271,A
463431372,B
220997029,F
737294922,D
580383776,C
414767941,F
41543260,D
29601572,C
487368315,A
1113903381,B
1313676925,C
314930081,A
814164516,B
1376817309,C
1176441654,A
1059555625,F
652357934,B
1059908469,C
155969864,C
555736207,F
1214794098,A
583472156,A
386952497,D
1504959831,F
1280199983,C
412765267,D
695921794,B
68526032,D
1370255021,A
400233014,D
916593325,C
1476142948,D
681518915,D
740644389,F
107045004,C
937199494,B
1005013321,D
1012111212,A
1365936508,A
443991685,D
295951599,A
929893260,C
389584802,B
1224967386,F
1078026606,F
1408652202,D
699531596,C
8588929,B
136867383,C
1318458902,B
1306514787,D
1481964965,F
206439576,A
533043676,B
1094312509,D
809402849,A
1420505116,D
1305997102,D
1372184500,F
1169402092,F
1274728027,D
1504438830,C
1554508804,C
1551218006,A
128734295,A
1505592534,B
503130611,C
1255633908,C
138892503,B
1410154735,A
231015175,D
329905328,C
103719131,C
42220364,D
1226637794,C
376399612,C
127672400,D
1487861170,C
767402629,B
1380438496,D
823967925,C
1024077965,F
953949160,D
949754328,B
1150310658,D
423156737,F
652552102,C
925409746,C
78066295,B
786414791,D
654230382,F
624539387,B
27895066,D
35170890,A
1471413749,C
67418928,C
205747857,C
926034609,F
1150931174,C
752240686,D
762120707,F
770110095,B
572084030,A
981491609,A
980060414,C
976758617,F
736450620,B
109835449,A
1144739394,F
941153632,F
693180036,A
332686487,D
745134902,D
254452254,B
1368051092,D
407298447,A
1031156393,F
1129015966,C
979373746,B
955511136,F
8304914,F
1139659478,C
261899976,D
998366444,A
1293461101,D
398511175,F
374025515,B
1307010377,F
1553868137,A
126488440,B
1243570366,A
262804155,F
1469516890,D
907060626,B
846634234,A
63949521,B
1025023176,D
1254236581,F
545084751,F
525995327,A
1323521890,D
1310100078,B
1036177549,B
1372600987,B
503433513,F
1034182810,A
211097107,B
701240859,C
434636019,A
1202291924,F
1300922194,B
951773433,F
71142775,A
1081744754,C
459327414,D
675442174,B
707439911,D
1439295372,D
719647200,F
352282040,A
1251715488,F
1087485617,A
449726355,A
676600620,B
748281698,D
434227806,F
799292556,F
1236588088,D
58584230,D
514283357,D
1440528569,D
373939799,B
263650290,D
656460104,B
1141144748,D
1238612528,B
224038444,A
1170713071,C
940472550,F
810340244,B
71688860,F
102249282,B
392707054,A
177644816,A
1504277408,A
277218426,C
826326586,A
696977075,C
1350463101,A
32380950,A
454127868,C
785597547,A
137703045,F
1555885894,C
1052738714,A
627204077,C
1214928769,C
384295962,B
145570347,A
1267411132,B
355188106,A
1297101164,C
855916770,A
1062978712,A
56037006,A
605170791,D
1521567329,B
510268669,C
1223200768,B
260396747,D
492771584,A
672700648,A
98059569,A
1138571611,B
81487187,F
926303028,F
116704468,B
992066870,F
737744583,D
708439365,A
746694886,B
1101135434,F
1453377481,B
271084278,B
768827727,F
204547940,C
646970658,B
1413815768,B
1289339423,F
298097568,D
11588026,D
411116280,B
1080965049,A
267935778,D
758355635,C
619380012,B
407496787,C
92534103,F
1527607713,A
1218985725,A
639240949,B
1142850618,D
967046403,C
1497883758,D
1076547327,F
1061836094,B
190126361,A
674323341,F
1369567448,C
516519972,F
1422077691,B
707614153,C
1532536232,F
90213055,D
835886841,B
1091119319,C
1305860961,C
840674498,D
562224413,A
731935570,A
286295581,D
578365836,B
125760790,A
818053204,C
761723645,D
172994538,A
806019911,A
785327450,C
311096084,C
1170373674,D
1312060641,A
532930021,B
416160845,F
1035127573,F
403404353,B
155379366,A
965311980,D
1208273100,C
1396478859,F
1121553643,F
52462702,C
1065232592,D
684583884,D
1421207272,A
715601048,B
70504154,F
901724228,D
691339716,A
1119618025,B
1105845342,C
1398251800,D
1178550986,C
963078228,B
789638295,D
1207564,B
657410642,D
1167712042,B
1293778958,F
996865081,C
441613178,D
628267382,A
1015114577,B
952036563,F
349071261,C
1496686729,F
774845925,A
451246217,D
695949460,F
1551426182,C
826945175,B
1473335035,B
167465098,F
204379859,C
597483803,F
588405191,C
856286917,D
943990254,A
1209077094,D
1157616481,F
146166089,C
1495685984,D
903031545,C
474092846,B
582235189,A
1135936984,B
832985316,C
970056871,D
1189219818,B
649864310,F
846489546,A
1134630285,C
518162402,D
659663370,A
900650783,D
27612432,B
619695199,B
1397782761,D
46336380,F
442775368,D
1156289988,C
1229827431,B
398093202,D
1472031582,C
419326664,F
26255594,D
3355403,B
58772074,D
1491352459,F
1205200963,B
145018146,C
507613441,A
525237350,A
920801818,F
24901879,F
685304656,B
154419563,A
1110997326,F
389123857,D
944144173,C
217998375,F
737326352,F
488711094,F
1166101896,C
765022403,F
1035760396,F
1427397559,B
790183808,B
507787370,D
87647540,D
1338892331,B
1022584508,F
1066758003,B
14436777,C
1239614508,B
128373313,C
256624580,C
44579693,B
1119407283,F
581766896,A
1340403587,D
474161335,C
831164179,A
768600299,D
316536322,C
1261978925,B
115989032,A
446616590,F
1030694916,B
788505924,F
119963601,C
1232464826,F
737973443,D
931485781,F
237124377,D
249974832,D
1431675802,C
95270225,C
1483359113,C
571915031,B
827640079,A
244933631,D
1288918824,B
1291983229,C
1463223524,C
863215681,D
933804108,D
156031768,C
382047,C
1165238997,C
427252566,F
543718363,F
1317289113,F
260571119,C
1539927224,A
893910823,A
620219381,A
1010831569,C
1051849673,A
1324835518,A
728489097,A
1256618945,C
886659615,A
134623147,D
1177367869,A
758508229,A
558153954,F
280498642,A
594481905,A
850353233,C
651852601,D
875304659,B
25777281,F
1019928832,C
573150015,C
271019250,A
341335439,F
282390091,D
927745074,B
1166206223,B
289146569,D
173549816,F
1468395340,C
817336114,F
706811858,A
532044141,F
890842336,B
1020244369,F
452345492,D
1407576738,D
228438638,D
153910453,C
1301198438,B
1486843284,B
557816436,B
402870416,A
970543272,F
684611025,B
491283418,D
899372862,A
1423850772,F
1009867200,D
944236809,A
166335152,C
1029787830,F
803075043,C
1004643237,D
1010642365,D
941419337,C
1527092622,D
657165195,F
1247398748,A
997825737,D
714075740,A
840942063,D
1090560816,C
1515170227,B
333925156,D
1468458684,B
1134204321,F
664654157,D
1540746365,C
771646176,A
442082063,B
1297191463,D
648114556,F
506407137,A
794334430,D
911459054,B
655409512,C
128372979,F
987840409,C
643110355,A
260719527,D
1104448419,C
1187410858,F
918122644,C
903746356,D
1414701699,B
16797253,C
1374280990,D
346874812,C
1087915206,F
357805167,D
912342433,D
108117209,B
12589861,A
775922793,A
260641216,D
1508757181,C
730889081,D
1246819282,F
1290395608,C
716786021,D
917844486,D
336663968,B
718383116,D
998515558,A
846153927,A
965319883,F
551728897,F
1394185288,F
916136287,B
826367732,F
510407846,F
1353691929,B
298673973,C
1049693422,A
383633364,B
818821496,B
1307511794,C
73116959,A
975731879,F
1349701988,D
1459064261,B
1310068043,C
127097819,C
1171993984,D
793692904,B
1071874387,A
952118523,A
700888240,F
339050212,A
1443872343,B
94107029,D
1256843299,D
1216655508,A
220351851,B
930508236,B
1085631937,F
107334847,B
1369896772,A
743837882,A
88541234,A
515658586,F
1363146125,A
1365198593,A
98026404,C
1446949495,D
443183113,C
1117981879,F
700010693,C
729032756,C
819479858,F
819327191,C
3805135,F
1491456130,F
1327910923,A
1511337064,A
103201633,F
1397184409,C
335417419,A
557376948,D
1369299696,D
980488338,D
796662377,F
1280850259,C
1169448433,A
1464377491,A
1399868595,A
711744663,F
676312238,C
1506884293,D
872668622,B
1423991037,A
1216576702,A
1145946212,F
489793677,A
400287344,A
395493349,F
16627756,D
1425909137,D
8127655,F
1353806479,F
268072962,C
670793168,A
1071777116,C
492156375,A
1374781482,B
209087778,C
742956819,C
1131754846,F
1162878403,D
1414247835,D
683070188,D
1404595596,D
644774637,F
978507329,B
86109689,D
1033452210,A
709909027,B
860837213,D
590977425,A
608900770,B
724445706,D
847316084,F
691919585,A
163147631,A
42481842,A
525149683,A
46022680,B
231548130,C
57464549,F
1477161864,D
1034968986,C
1475978660,B
1496498902,D
1309444841,C
195989998,B
562457307,C
240214938,D
268375607,F
601467455,D
1314734755,F
170544436,B
386953108,F
1492757669,B
532313587,C
503921715,A
287711766,B
772906443,A
50316384,D
1435875040,C
357394319,F
629425757,D
1491100734,C
255351269,A
